study_hours,sleep_hours,social_hours,physical_activity,gpa,academic_pressure,gender,age,financial_stress,study_satisfaction,peer_competition,relationship_stress,sleep_problems,irritability
9.5,9.9,0.6,3.5,2.93,Moderate,Male,23.0,5.0,2.0,1,3,5,1
10.25,7.1,4.3,2.5,3.39,High,Female,25.0,4.0,1.0,4,2,2,2
7.7,5.4,5.4,6.5,3.29,High,Female,24.0,1.0,4.0,5,3,1,2
6.5,6.1,2.1,8.5,2.91,Moderate,Female,18.0,4.0,3.0,3,1,5,5
7.65,6.2,3.2,6.1,2.64,Low,Female,19.0,5.0,3.0,2,3,5,5
10.7,7.7,1.4,2.9,3.66,High,Female,30.0,2.0,3.0,2,1,3,2
6.5,7.8,2.6,1.0,3.26,High,Female,35.0,4.0,2.0,2,5,3,3
5.65,7.8,5.7,3.0,3.2,Moderate,Female,20.0,5.0,3.0,2,4,3,1
4.0,5.5,2.7,7.7,2.72,High,Male,20.0,4.0,2.0,2,1,3,3
6.9,8.3,4.4,1.1,3.1,High,Female,18.0,1.0,4.0,2,2,3,1
10.0,7.7,2.2,0.4,3.44,High,Female,18.0,1.0,2.0,2,2,4,2
5.8,5.4,4.5,4.0,3.17,High,Female,30.0,2.0,3.0,1,1,2,3
7.95,5.2,1.8,5.3,3.3,High,Female,33.0,1.0,3.0,1,2,4,5
9.15,5.4,5.6,5.3,2.58,High,Female,29.0,3.0,2.0,1,1,5,2
7.0,8.0,3.1,4.1,3.15,Moderate,Female,28.0,3.0,4.0,3,1,1,4
4.8,10.0,2.0,0.4,3.46,High,Male,26.0,1.0,4.0,2,3,5,2
7.95,9.3,3.5,0.8,3.02,Moderate,Male,22.0,2.0,4.0,2,2,1,1
10.5,5.4,2.4,6.0,3.46,High,Female,28.0,2.0,4.0,2,4,2,1
9.35,8.2,4.3,0.9,2.83,Moderate,Male,32.0,2.0,5.0,3,3,1,2
8.35,9.6,2.6,2.7,3.13,Low,Female,31.0,4.0,3.0,3,2,2,1
4.95,7.0,0.9,8.2,3.0,Low,Male,20.0,2.0,3.0,3,3,4,5
8.9,5.1,0.8,11.0,3.03,High,Female,30.0,3.0,2.0,5,1,2,5
5.9,6.6,3.0,2.9,3.58,High,Male,27.0,1.0,4.0,4,3,2,3
6.6,8.2,1.3,6.9,3.39,Moderate,Male,26.0,1.0,3.0,3,4,3,3
7.4,8.9,2.8,6.3,3.11,Low,Male,34.0,3.0,5.0,3,1,3,3
7.65,5.3,4.2,5.2,2.67,High,Female,20.0,1.0,4.0,3,3,4,2
6.75,7.5,6.0,1.8,3.21,High,Male,22.0,2.0,1.0,4,2,2,2
5.55,6.5,3.7,2.2,2.85,High,Female,20.0,3.0,3.0,2,2,4,1
3.85,7.2,1.2,6.4,3.04,Low,Female,27.0,5.0,1.0,1,5,1,2
9.4,9.1,4.4,2.0,2.9,Moderate,Female,25.0,4.0,2.0,1,3,2,3
7.55,8.8,0.8,8.3,2.25,Low,Male,19.0,5.0,3.0,3,3,1,1
8.85,5.1,1.4,8.9,3.15,High,Male,29.0,5.0,1.0,2,3,3,4
8.75,7.3,5.1,3.9,2.94,Low,Female,18.0,1.0,2.0,2,2,4,2
4.25,5.8,1.9,8.8,2.79,High,Female,21.0,2.0,2.0,1,2,3,3
8.45,7.3,4.7,3.5,3.38,Moderate,Female,31.0,1.0,5.0,1,1,4,2
9.75,8.9,0.6,1.2,3.3,High,Female,33.0,4.0,1.0,2,1,2,1
6.65,5.2,5.4,3.7,3.31,High,Male,33.0,5.0,4.0,1,4,2,2
7.65,8.3,5.3,0.6,3.36,Moderate,Male,21.0,5.0,1.0,2,3,2,3
6.65,5.8,4.4,6.4,3.11,High,Female,21.0,5.0,1.0,2,3,2,2
5.8,5.2,0.5,8.0,3.07,High,Male,23.0,3.0,2.0,1,4,1,4
7.2,9.8,4.4,4.4,2.85,Low,Male,20.0,5.0,4.0,3,2,5,5
6.9,6.7,4.6,4.7,2.81,Moderate,Female,20.0,5.0,4.0,1,2,2,3
8.95,8.3,4.6,4.8,2.99,Low,Female,20.0,5.0,4.0,1,2,3,3
5.15,5.4,5.8,6.4,3.14,High,Male,20.0,2.0,5.0,1,1,1,1
6.05,6.0,0.7,7.7,3.06,High,Female,33.0,2.0,4.0,2,3,3,3
7.05,8.2,2.4,2.2,3.09,High,Male,29.0,4.0,4.0,2,3,1,4
7.95,7.9,2.8,1.0,3.67,High,Female,21.0,2.0,4.0,1,1,3,1
9.55,5.6,2.0,4.7,3.16,High,Male,28.0,3.0,1.0,1,3,4,2
9.1,9.7,1.1,3.5,2.69,Moderate,Female,25.0,3.0,5.0,3,1,2,2
4.8,9.4,3.9,4.3,3.01,Low,Female,22.0,2.0,2.0,2,5,4,2
6.15,9.6,0.4,1.3,3.28,High,Female,24.0,1.0,3.0,5,2,2,1
5.9,9.2,3.1,1.1,3.45,High,Male,19.0,3.0,4.0,2,4,1,3
6.45,9.9,5.6,0.4,3.12,Low,Male,32.0,5.0,3.0,1,1,2,2
7.6,5.7,4.4,8.0,2.67,High,Female,25.0,1.0,4.0,3,4,2,1
6.75,8.7,2.4,2.0,3.24,Moderate,Female,25.0,4.0,3.0,5,2,2,3
6.0,6.5,3.4,4.1,3.35,Moderate,Male,21.0,2.0,1.0,2,3,4,3
8.6,5.8,2.8,4.2,3.31,High,Female,28.0,3.0,2.0,5,5,4,4
7.5,8.6,6.0,3.4,2.71,Low,Male,20.0,4.0,2.0,3,1,3,4
6.0,7.8,4.4,2.0,3.18,High,Male,26.0,1.0,5.0,5,3,1,4
9.05,6.8,4.7,3.6,3.19,High,Female,19.0,5.0,5.0,3,1,3,3
8.9,8.7,1.2,5.2,3.32,High,Male,25.0,4.0,3.0,3,4,2,1
10.4,6.6,0.9,5.2,3.61,High,Female,33.0,1.0,5.0,2,2,5,4
10.0,7.2,3.8,1.5,3.43,High,Female,20.0,1.0,5.0,2,2,1,1
8.2,7.0,2.1,3.1,3.1,High,Male,22.0,4.0,3.0,2,5,4,2
7.0,7.9,2.9,3.8,3.6,High,Male,26.0,1.0,4.0,2,2,1,1
9.6,7.9,3.4,4.2,3.64,High,Female,20.0,2.0,3.0,1,2,5,1
5.2,6.3,5.0,1.1,3.5,High,Male,23.0,3.0,3.0,3,4,4,4
3.75,5.3,2.0,8.9,3.26,High,Male,33.0,5.0,3.0,1,1,3,3
8.95,7.2,0.9,4.9,3.53,High,Female,20.0,3.0,3.0,2,3,3,1
8.8,5.4,1.3,9.0,3.29,High,Female,29.0,1.0,3.0,2,5,4,2
9.0,8.2,0.9,1.2,3.63,High,Male,33.0,2.0,1.0,2,2,3,2
7.6,5.6,2.5,4.6,3.16,High,Male,26.0,4.0,4.0,3,2,3,4
3.95,5.9,2.2,5.6,3.4,High,Female,27.0,1.0,4.0,2,1,4,2
7.85,5.1,5.0,7.1,3.03,High,Female,34.0,1.0,2.0,1,2,1,1
8.25,6.3,2.6,4.8,2.62,Moderate,Male,34.0,1.0,4.0,3,3,2,4
9.2,5.9,4.3,1.0,3.18,High,Female,20.0,5.0,2.0,2,3,2,1
8.35,8.6,3.0,6.4,2.28,Low,Male,28.0,1.0,4.0,1,1,1,1
9.1,8.8,0.8,4.3,2.88,Moderate,Male,28.0,4.0,4.0,4,2,2,5
9.9,9.8,0.2,2.6,3.38,High,Female,23.0,1.0,4.0,3,2,3,1
4.65,6.3,1.5,9.8,2.75,Low,Female,34.0,5.0,4.0,5,4,3,2
4.2,7.2,4.7,2.7,3.03,Moderate,Female,20.0,1.0,5.0,4,2,2,1
8.15,5.2,0.4,11.1,2.31,High,Female,25.0,1.0,2.0,3,2,2,1
6.35,5.1,4.0,4.6,3.18,High,Male,26.0,5.0,3.0,5,2,2,1
10.4,9.7,0.1,2.2,3.16,High,Male,18.0,4.0,2.0,1,1,2,1
8.85,6.3,3.3,1.8,3.2,High,Female,24.0,4.0,2.0,1,2,1,1
8.5,7.3,5.8,2.6,2.58,Moderate,Male,28.0,3.0,2.0,2,2,1,4
6.8,6.1,1.5,10.2,3.07,Low,Male,34.0,3.0,5.0,5,5,4,3
7.65,7.6,0.6,4.3,3.48,High,Male,23.0,2.0,2.0,1,2,1,5
8.15,7.7,0.5,7.7,2.93,Low,Male,27.0,2.0,4.0,2,2,2,1
5.15,5.8,5.7,3.3,3.18,High,Female,19.0,2.0,2.0,3,2,3,3
7.65,8.3,3.3,3.5,3.28,Moderate,Male,32.0,1.0,4.0,5,5,1,5
8.15,9.0,2.8,4.8,2.67,Low,Female,20.0,5.0,5.0,5,3,3,4
7.4,8.8,3.1,5.0,2.71,Low,Male,25.0,4.0,4.0,2,3,4,2
4.0,9.4,4.4,0.7,2.84,Moderate,Female,24.0,4.0,1.0,2,2,2,2
7.45,5.1,0.4,5.5,3.17,High,Female,22.0,2.0,2.0,2,1,2,4
6.65,7.7,2.7,2.7,3.15,Moderate,Male,27.0,5.0,2.0,2,2,4,2
7.55,8.9,4.3,0.2,3.21,High,Female,18.0,1.0,3.0,2,2,2,2
7.5,6.4,4.8,4.7,3.27,Moderate,Male,23.0,2.0,5.0,2,3,3,3
8.5,9.6,2.0,1.8,3.57,High,Female,29.0,3.0,4.0,2,1,1,1
6.9,9.0,1.9,4.5,2.8,Low,Female,18.0,2.0,1.0,2,5,2,1
4.45,8.3,0.9,5.3,2.8,Low,Female,31.0,1.0,3.0,2,5,3,3
8.1,5.4,5.3,3.6,3.08,High,Female,33.0,5.0,5.0,3,3,4,2
7.4,9.9,1.7,0.9,3.75,High,Male,33.0,1.0,4.0,1,4,2,2
8.6,9.4,2.4,3.3,3.47,High,Female,34.0,1.0,3.0,3,1,3,1
4.3,5.4,4.4,2.0,3.81,High,Male,28.0,5.0,4.0,3,3,3,3
8.45,9.1,3.0,2.6,2.68,Low,Male,20.0,1.0,3.0,1,2,3,4
9.2,7.3,2.1,3.9,3.34,Moderate,Male,25.0,2.0,5.0,1,3,1,2
4.25,6.7,1.0,5.5,3.29,Moderate,Female,21.0,2.0,5.0,3,1,2,1
8.25,5.7,2.1,9.7,2.93,High,Female,29.0,5.0,4.0,5,5,3,1
8.65,8.3,3.4,2.0,3.29,Moderate,Female,33.0,4.0,3.0,4,2,5,5
4.7,8.2,0.6,3.9,3.02,Moderate,Female,33.0,4.0,3.0,5,5,1,5
4.2,8.4,0.4,5.5,3.32,High,Female,21.0,4.0,5.0,1,3,3,1
8.55,6.4,3.9,4.3,2.86,Moderate,Female,29.0,2.0,2.0,1,2,5,5
10.25,6.5,1.3,5.6,3.38,High,Male,31.0,3.0,1.0,1,1,2,1
7.7,8.9,1.7,0.9,3.45,High,Male,24.0,1.0,4.0,5,4,4,1
6.15,8.4,3.2,2.5,2.92,Moderate,Female,19.0,2.0,1.0,2,1,1,1
8.65,7.7,2.1,3.4,2.9,Moderate,Male,25.0,3.0,3.0,2,3,3,5
7.95,7.1,0.3,6.3,3.55,High,Male,27.0,1.0,5.0,4,2,1,1
9.2,6.5,5.5,2.2,3.0,Moderate,Female,31.0,5.0,3.0,1,1,3,3
4.9,5.1,5.8,1.1,3.13,High,Female,28.0,4.0,1.0,1,5,2,3
8.05,9.4,0.5,3.9,3.58,High,Male,34.0,2.0,4.0,2,2,3,1
8.25,5.5,1.5,6.3,3.27,High,Female,31.0,1.0,3.0,2,5,4,4
7.75,6.5,1.8,6.8,2.91,Moderate,Male,20.0,2.0,1.0,1,1,1,2
8.35,9.5,4.8,0.8,3.5,High,Female,18.0,5.0,3.0,1,3,3,2
9.75,5.4,1.4,7.0,3.77,High,Female,20.0,4.0,1.0,5,1,2,5
7.5,7.9,6.0,1.0,3.36,High,Male,24.0,2.0,3.0,4,3,2,4
3.15,8.0,0.7,6.7,3.03,Low,Female,28.0,2.0,3.0,3,2,1,1
4.25,8.3,5.0,1.6,2.86,Low,Female,19.0,5.0,4.0,1,1,2,5
7.8,6.6,2.6,5.5,3.34,Moderate,Male,28.0,5.0,1.0,2,4,2,5
10.45,9.5,1.4,1.8,3.66,High,Male,28.0,5.0,5.0,2,2,3,1
8.0,6.2,3.1,3.9,3.46,Moderate,Female,28.0,1.0,5.0,2,4,1,4
8.25,7.4,3.9,5.7,2.85,Low,Female,19.0,1.0,2.0,2,3,3,1
7.35,8.2,0.4,4.7,3.42,High,Male,28.0,1.0,2.0,3,3,5,4
5.65,7.4,0.3,8.6,2.86,Moderate,Female,21.0,5.0,1.0,4,2,1,1
9.95,7.4,1.1,4.3,3.35,High,Female,19.0,3.0,4.0,5,5,4,5
8.05,6.0,3.1,5.7,3.15,High,Male,29.0,2.0,1.0,3,3,5,1
7.0,7.6,1.5,3.6,3.2,High,Male,32.0,1.0,5.0,1,1,4,1
10.85,5.4,3.7,3.6,3.39,High,Male,26.0,4.0,2.0,4,5,2,3
7.25,7.5,3.9,1.6,2.97,Moderate,Male,22.0,4.0,4.0,3,2,3,3
6.0,6.4,2.4,4.7,3.14,High,Female,24.0,4.0,1.0,5,5,1,4
7.25,8.0,1.1,2.5,3.11,High,Male,28.0,4.0,4.0,1,2,3,2
7.05,9.1,0.0,2.0,3.27,High,Male,34.0,1.0,3.0,2,4,1,3
8.65,8.0,4.1,5.4,2.97,Moderate,Male,20.0,3.0,4.0,5,5,5,5
8.3,7.3,2.2,7.4,2.8,Low,Female,32.0,3.0,4.0,3,1,2,1
5.4,5.4,2.1,7.4,3.12,High,Female,20.0,4.0,3.0,3,2,5,2
10.35,8.4,1.2,2.0,3.44,High,Male,18.0,4.0,3.0,4,4,4,2
7.6,8.1,3.5,0.5,3.23,High,Female,25.0,1.0,2.0,2,1,1,2
5.3,9.5,0.4,5.0,3.06,High,Male,29.0,1.0,3.0,1,3,4,4
5.55,6.5,2.9,7.8,2.79,Low,Male,27.0,4.0,2.0,1,2,1,3
4.95,5.6,3.4,6.9,3.44,High,Female,34.0,4.0,3.0,4,2,3,2
5.15,8.5,1.6,2.2,3.07,High,Male,32.0,5.0,3.0,3,5,4,5
8.7,6.5,4.7,3.3,3.54,High,Male,29.0,4.0,1.0,1,4,3,1
7.55,9.6,0.8,1.1,3.31,High,Female,23.0,1.0,1.0,2,5,1,2
3.3,6.9,3.6,4.6,3.2,Moderate,Female,27.0,4.0,5.0,1,3,2,2
4.45,7.2,0.9,8.3,3.26,Moderate,Female,29.0,5.0,2.0,1,1,2,1
10.25,5.8,0.2,7.1,3.69,High,Female,30.0,1.0,3.0,4,3,3,2
7.35,7.0,1.9,8.1,3.28,Moderate,Female,21.0,3.0,5.0,3,3,2,5
5.2,6.8,1.3,5.1,3.25,High,Female,32.0,5.0,2.0,1,1,4,3
5.7,7.4,0.2,7.4,3.32,High,Male,20.0,5.0,2.0,3,3,2,3
4.25,6.9,0.2,5.5,3.11,Moderate,Female,25.0,5.0,2.0,1,1,1,1
7.9,8.8,2.8,6.5,2.8,Low,Male,31.0,2.0,1.0,3,4,1,1
9.2,5.6,5.7,2.7,3.1,High,Male,20.0,2.0,5.0,3,4,2,4
6.5,9.9,0.8,2.0,3.13,Moderate,Female,23.0,5.0,3.0,1,2,1,1
5.9,6.9,1.9,3.8,3.23,High,Male,31.0,1.0,4.0,2,2,5,1
4.4,8.8,4.3,0.9,3.2,Moderate,Female,34.0,3.0,5.0,1,4,2,2
8.6,6.3,1.2,8.1,3.05,Moderate,Male,24.0,4.0,2.0,1,3,2,1
7.7,7.8,2.0,3.9,2.87,Moderate,Male,32.0,3.0,4.0,1,4,2,2
3.95,7.2,3.8,4.5,2.68,Moderate,Male,30.0,3.0,1.0,1,4,3,3
8.5,8.1,1.4,1.0,3.44,High,Female,18.0,2.0,1.0,1,1,4,4
10.05,7.0,0.2,7.9,3.74,High,Male,33.0,2.0,4.0,3,5,3,2
8.55,9.5,3.2,1.3,2.61,Moderate,Male,34.0,2.0,1.0,2,1,4,2
5.85,5.7,4.7,2.4,3.21,High,Female,20.0,2.0,4.0,3,1,2,2
7.7,9.7,0.7,3.7,2.89,Moderate,Female,22.0,5.0,3.0,1,1,5,1
9.15,7.4,4.7,0.7,2.74,Moderate,Male,34.0,3.0,3.0,1,3,1,3
8.2,8.8,2.3,5.7,3.21,Moderate,Female,30.0,3.0,1.0,1,1,3,2
8.8,7.9,5.2,1.3,3.13,Moderate,Male,19.0,3.0,4.0,1,4,2,5
4.55,7.9,3.7,0.2,3.42,High,Female,19.0,4.0,1.0,3,1,2,2
5.5,9.3,2.6,5.7,3.02,Moderate,Male,20.0,5.0,2.0,1,5,2,5
5.05,5.1,2.9,4.2,2.63,High,Male,25.0,5.0,2.0,2,3,1,3
10.2,8.5,0.6,3.6,3.07,High,Female,30.0,1.0,5.0,3,3,2,3
4.5,6.1,5.7,2.1,3.07,High,Male,26.0,5.0,1.0,1,4,4,3
7.5,8.4,5.0,1.6,2.9,Low,Female,21.0,2.0,2.0,3,1,3,4
10.35,8.8,4.5,1.4,3.41,High,Female,28.0,3.0,1.0,3,3,2,3
6.65,9.2,2.1,1.3,3.24,High,Male,18.0,5.0,5.0,3,1,4,3
7.7,7.0,0.4,9.6,2.63,Low,Male,24.0,5.0,1.0,1,1,2,3
3.85,9.0,5.7,2.2,2.63,Moderate,Male,29.0,2.0,5.0,2,2,3,4
6.7,9.0,4.2,3.4,2.85,Low,Male,28.0,2.0,5.0,1,2,3,3
8.65,7.0,1.8,9.6,2.64,Low,Male,31.0,3.0,5.0,1,1,5,2
8.0,7.0,3.9,0.4,3.16,High,Male,25.0,2.0,2.0,4,5,5,1
3.3,6.1,3.8,5.6,3.0,Moderate,Male,28.0,2.0,5.0,2,2,2,3
4.9,5.6,5.3,3.7,3.08,High,Male,33.0,4.0,2.0,1,1,4,1
6.75,7.9,3.7,3.1,3.17,Moderate,Male,30.0,5.0,2.0,2,1,4,4
9.1,9.1,4.7,1.1,2.83,Moderate,Female,28.0,5.0,5.0,2,4,3,2
7.9,5.7,4.7,3.7,3.16,High,Male,20.0,5.0,3.0,5,5,5,3
8.7,8.1,0.3,8.7,2.61,Moderate,Female,18.0,2.0,3.0,3,3,2,3
6.35,5.0,3.1,5.9,3.24,High,Female,29.0,2.0,5.0,1,5,4,4
8.6,6.2,4.4,4.2,3.41,High,Male,28.0,1.0,2.0,5,4,1,4
8.3,6.8,1.6,8.6,2.89,Moderate,Female,24.0,3.0,2.0,3,3,1,1
9.45,7.2,3.9,0.4,3.51,High,Male,25.0,3.0,2.0,2,3,5,5
5.45,5.4,4.1,3.7,2.55,High,Male,21.0,5.0,5.0,1,2,2,4
10.1,5.0,1.0,7.0,3.2,High,Male,21.0,1.0,1.0,1,2,4,1
8.3,9.8,2.2,0.7,3.31,High,Female,28.0,4.0,2.0,3,4,1,3
8.75,8.9,3.9,4.3,3.01,Moderate,Female,34.0,4.0,5.0,2,1,4,4
8.1,9.8,3.0,4.6,2.49,Low,Female,29.0,3.0,2.0,3,4,3,4
7.5,6.8,0.3,9.4,2.44,Moderate,Female,19.0,4.0,2.0,2,3,4,4
4.4,9.1,3.7,0.7,3.44,High,Female,19.0,5.0,1.0,2,3,3,3
5.7,6.1,4.1,2.9,2.88,Moderate,Male,21.0,3.0,5.0,1,2,3,1
8.5,5.7,3.9,5.2,3.03,High,Male,23.0,5.0,3.0,1,4,3,1
6.1,8.6,1.1,4.5,3.46,High,Female,25.0,4.0,2.0,3,2,3,4
9.25,6.8,0.3,6.3,3.43,High,Female,29.0,3.0,2.0,4,1,1,2
6.15,5.1,2.3,7.0,2.74,High,Male,27.0,5.0,4.0,4,4,2,2
8.85,5.6,2.5,9.1,2.49,High,Female,19.0,5.0,1.0,3,1,3,3
5.85,5.0,2.8,6.1,3.12,High,Male,26.0,5.0,4.0,2,1,1,4
5.9,8.4,1.2,2.5,3.61,High,Female,19.0,3.0,1.0,3,2,1,4
3.8,5.6,0.1,6.8,3.28,High,Female,22.0,3.0,1.0,1,1,1,1
7.95,5.6,1.6,4.7,3.36,High,Female,23.0,5.0,4.0,4,2,2,2
4.35,5.0,1.8,9.0,3.31,High,Male,29.0,5.0,1.0,3,1,2,2
8.1,9.2,0.1,2.6,3.26,High,Male,21.0,2.0,1.0,2,4,2,2
8.45,7.0,1.8,4.5,3.38,High,Male,24.0,2.0,3.0,2,1,1,4
7.65,6.2,2.9,8.7,2.76,Low,Male,24.0,1.0,2.0,3,1,4,5
8.65,9.7,4.1,1.1,3.13,Low,Male,32.0,3.0,5.0,1,1,3,1
8.0,9.8,0.2,1.8,3.25,High,Female,22.0,2.0,4.0,5,5,2,2
3.5,8.1,4.7,4.6,2.78,Moderate,Male,23.0,1.0,3.0,3,2,2,4
9.45,9.1,3.8,2.6,3.5,Moderate,Female,33.0,4.0,5.0,3,1,4,5
5.15,9.6,1.7,5.0,2.74,Moderate,Female,27.0,5.0,3.0,4,3,2,5
7.15,8.5,0.3,4.3,2.93,Moderate,Female,26.0,2.0,3.0,1,2,1,4
7.85,7.6,1.5,5.4,3.27,Low,Male,24.0,3.0,5.0,4,3,1,3
5.75,5.4,1.6,6.8,3.09,High,Male,33.0,4.0,2.0,1,1,1,2
8.85,5.2,1.0,8.4,3.43,High,Male,33.0,5.0,2.0,4,2,2,2
3.6,5.2,5.1,5.7,2.99,High,Female,25.0,3.0,5.0,4,2,4,4
10.9,9.8,3.6,0.0,3.59,High,Female,27.0,5.0,2.0,2,2,3,2
6.8,7.8,1.0,2.7,3.69,High,Female,25.0,5.0,2.0,2,1,3,2
8.2,9.9,1.1,5.1,2.54,Low,Male,28.0,2.0,2.0,5,5,3,1
9.5,9.7,1.6,0.1,3.44,High,Female,21.0,5.0,3.0,3,2,5,5
5.9,7.4,4.3,2.9,3.32,High,Male,29.0,2.0,5.0,1,1,3,1
8.6,8.3,1.0,5.9,3.23,Moderate,Female,32.0,3.0,4.0,1,1,5,1
9.75,5.0,2.1,9.4,3.2,High,Male,34.0,3.0,3.0,3,3,1,3
10.3,8.2,1.2,4.1,3.62,High,Male,25.0,5.0,3.0,3,3,3,3
8.3,7.1,0.2,7.7,3.2,High,Female,21.0,3.0,5.0,2,3,4,4
8.7,5.6,1.7,6.7,3.26,High,Male,19.0,3.0,3.0,1,5,1,2
8.5,8.8,1.9,3.1,3.46,High,Male,22.0,1.0,4.0,3,4,2,5
9.5,9.6,4.2,0.2,2.68,Moderate,Male,33.0,3.0,3.0,3,3,4,3
9.95,7.8,2.2,4.1,3.54,High,Female,19.0,5.0,3.0,2,2,3,1
7.15,6.0,5.5,3.2,3.25,High,Male,21.0,5.0,4.0,2,4,2,1
7.55,5.2,1.1,11.4,2.72,High,Male,20.0,5.0,3.0,3,2,4,3
5.15,9.8,2.2,1.6,3.79,High,Female,20.0,2.0,4.0,3,2,1,1
9.8,6.4,2.1,4.9,2.83,Moderate,Male,18.0,1.0,3.0,3,4,2,5
9.25,9.5,0.5,0.7,3.4,High,Female,21.0,4.0,4.0,3,5,4,2
7.75,8.0,1.1,6.6,3.43,Moderate,Male,21.0,5.0,4.0,2,2,3,3
4.35,6.0,0.4,7.5,2.48,Moderate,Female,21.0,2.0,2.0,1,3,1,1
10.55,6.7,3.4,1.5,3.4,High,Male,29.0,3.0,3.0,1,2,2,3
4.45,5.8,5.3,1.4,2.98,High,Female,28.0,1.0,2.0,3,2,3,3
5.55,5.6,4.6,6.5,3.13,High,Male,33.0,3.0,1.0,3,2,5,5
5.5,7.6,0.3,9.4,2.53,Low,Male,24.0,4.0,5.0,2,2,2,5
5.1,8.6,5.8,3.4,2.71,Moderate,Male,29.0,1.0,1.0,3,1,3,4
5.55,8.7,5.1,1.4,2.57,Moderate,Male,32.0,5.0,5.0,3,3,5,2
8.8,9.1,1.0,4.4,2.85,Moderate,Male,32.0,5.0,3.0,2,3,4,3
8.45,9.0,4.4,0.1,2.92,Moderate,Male,26.0,2.0,3.0,2,1,4,3
4.0,5.4,3.3,4.7,3.48,High,Female,23.0,1.0,1.0,5,4,2,2
8.25,8.9,3.4,2.5,3.41,High,Female,29.0,2.0,1.0,1,4,4,2
8.75,8.8,0.6,5.2,2.67,Moderate,Male,27.0,5.0,5.0,2,4,2,2
9.8,6.8,5.6,2.0,3.25,Moderate,Male,31.0,3.0,4.0,2,5,5,2
8.3,9.6,2.8,1.2,3.47,High,Female,32.0,3.0,1.0,5,5,4,1
8.3,6.4,4.5,1.1,3.18,High,Female,31.0,1.0,3.0,1,3,2,2
8.85,9.3,2.9,1.2,2.78,Moderate,Male,27.0,1.0,4.0,3,1,5,2
9.3,9.7,1.7,1.8,3.07,High,Female,21.0,5.0,2.0,5,3,3,3
7.95,6.9,0.1,5.2,3.26,High,Female,20.0,5.0,1.0,2,1,1,1
10.1,8.5,5.8,0.5,3.08,High,Female,25.0,5.0,3.0,3,1,2,1
6.75,7.7,4.4,0.1,3.2,High,Female,31.0,5.0,1.0,2,2,2,5
2.65,8.6,5.2,2.9,2.89,Low,Female,24.0,2.0,2.0,3,3,2,4
7.9,5.7,5.2,3.7,3.06,High,Female,18.0,4.0,1.0,2,3,3,3
5.9,6.5,5.2,5.3,3.08,Low,Male,33.0,5.0,4.0,2,4,2,5
4.15,7.9,5.0,2.3,3.07,Moderate,Male,25.0,3.0,3.0,2,3,4,4
10.75,8.4,0.3,5.8,3.07,High,Male,26.0,3.0,3.0,5,2,5,5
8.75,8.1,2.0,6.0,3.06,Moderate,Female,29.0,2.0,3.0,3,1,5,2
9.85,5.3,4.7,3.7,3.2,High,Female,21.0,5.0,4.0,2,1,2,1
5.7,5.3,2.2,6.8,2.92,High,Female,18.0,3.0,2.0,1,2,4,2
9.85,8.4,2.1,1.2,3.38,High,Male,18.0,2.0,1.0,3,3,5,2
7.4,6.4,1.7,6.7,3.05,High,Male,18.0,4.0,5.0,1,3,2,3
4.6,5.3,3.1,4.5,3.03,High,Male,31.0,2.0,4.0,2,1,4,2
10.35,7.1,1.9,3.5,3.12,High,Male,31.0,5.0,2.0,4,2,1,1
9.5,6.0,2.9,7.0,2.87,Moderate,Female,21.0,4.0,4.0,1,5,2,5
7.65,8.0,0.3,3.5,3.04,High,Male,24.0,5.0,3.0,3,3,2,1
5.7,6.5,0.6,7.7,3.14,Low,Male,31.0,3.0,5.0,4,3,5,1
8.6,5.1,5.8,3.8,3.5,High,Male,24.0,2.0,4.0,1,2,2,3
6.65,8.5,3.7,2.8,2.72,Moderate,Male,18.0,5.0,5.0,3,2,1,3
7.0,9.7,0.3,2.5,3.02,Moderate,Male,20.0,2.0,4.0,5,5,5,5
7.9,8.7,5.0,0.7,2.95,Low,Female,30.0,3.0,2.0,3,3,4,2
8.25,7.0,0.1,5.7,3.01,High,Female,20.0,1.0,3.0,4,3,5,3
7.45,7.3,5.7,2.1,3.41,Moderate,Male,20.0,3.0,3.0,3,4,2,4
3.95,9.9,0.6,4.9,2.82,Low,Male,19.0,2.0,3.0,1,1,5,1
7.5,5.5,4.5,7.3,2.72,High,Male,23.0,4.0,4.0,4,1,2,4
7.65,8.6,0.1,7.3,3.11,Moderate,Male,29.0,5.0,1.0,1,1,5,1
7.95,8.2,1.3,4.1,3.08,Moderate,Female,19.0,2.0,4.0,1,3,4,4
9.0,8.7,0.1,5.7,2.95,Moderate,Male,28.0,2.0,1.0,1,1,4,2
9.1,6.4,1.5,9.0,2.92,Moderate,Female,32.0,5.0,5.0,3,1,3,4
8.85,8.4,0.4,4.1,3.16,High,Female,25.0,2.0,2.0,3,1,2,3
10.9,9.0,1.5,0.3,3.49,High,Female,29.0,5.0,3.0,4,4,3,5
8.5,8.7,4.4,2.4,3.05,Moderate,Female,23.0,4.0,5.0,1,2,3,3
4.3,6.9,5.5,3.7,3.35,Moderate,Female,24.0,2.0,3.0,3,1,2,2
7.65,9.5,4.0,2.7,3.42,Moderate,Female,18.0,1.0,1.0,5,5,3,4
7.45,8.2,1.3,3.8,3.21,High,Male,31.0,3.0,5.0,1,1,2,3
